Bowler,Average Adjusted Velocity,90th Percentile Adjusted Velocity,Adjusted Velocity Variation,Average Release Height,Middle Percentage,Whiff Percentage,Edge Percentage,Runs per Edge
NM Lyon,52.67,56.4,7.42,2.193,0.0,0.014,0.058,0.12
JG Bethell,54.14,57.78,7.1,2.124,0.833,0.033,0.019,0.5
SR Harmer,48.54,57.11,14.98,2.273,0.664,0.051,0.061,0.72
MJJ Critchley,49.86,52.64,6.43,2.193,0.631,0.043,0.057,1.38
CF Parkinson,50.3,55.44,9.29,2.093,0.827,0.038,0.07,0.81
CN Ackermann,51.29,54.32,7.26,2.168,0.787,0.034,0.056,1.0
SG Borthwick,46.7,50.69,7.34,1.989,0.667,0.051,0.128,0.4
MJ Leach,53.17,57.31,7.95,2.125,0.721,0.041,0.068,0.58
ARI Umeed,49.18,51.76,5.88,2.287,0.864,0.0,0.091,0.0
CG Harrison,52.72,58.36,9.11,2.207,0.75,0.02,0.03,0.67
JEK Rew,44.44,47.2,4.68,2.166,1.0,0.0,0.0,0.0
DR Mousley,63.89,73.7,21.4,2.192,0.667,0.0,0.083,4.0
FS Organ,49.94,54.42,8.32,2.155,0.794,0.041,0.047,0.38
LA Dawson,52.25,55.94,8.48,2.023,0.552,0.03,0.054,0.93
DR Briggs,52.69,57.74,9.4,2.238,0.829,0.014,0.027,1.25
LWP Wells,54.82,58.95,9.5,2.236,0.22,0.018,0.041,0.56
MK O'Riordan,52.2,54.1,4.05,2.121,0.204,0.0,0.037,1.5
MW Parkinson,42.76,45.95,8.38,1.872,0.287,0.037,0.02,0.0
Shoaib Bashir,54.37,59.73,12.62,2.37,0.595,0.045,0.016,1.5
JD Libby,49.52,52.69,5.75,2.085,0.429,0.0,0.0,0.0
Kashif Ali,46.72,49.64,6.51,2.072,0.6,0.0,0.1,0.0
DW Lawrence,50.91,54.52,7.74,2.188,0.457,0.033,0.043,0.25
JA Leaning,50.16,54.63,7.16,2.195,0.152,0.022,0.065,1.0
LA Patterson-White,51.84,57.19,8.47,2.219,0.449,0.09,0.013,0.0
CJ Green,50.58,58.03,11.82,2.431,0.0,0.0,0.025,0.0
RM Yates,53.62,59.29,9.91,2.275,0.786,0.02,0.051,2.2
BL D'Oliveira,47.34,50.06,6.83,1.849,0.526,0.0,0.053,1.0
TW Hartley,50.51,54.38,7.28,2.32,0.618,0.03,0.045,0.78
JJ Bohannon,58.68,61.39,6.01,2.01,0.882,0.0,0.059,0.0
WG Jacks,52.65,56.82,9.25,2.293,0.75,0.107,0.036,1.0
FW McCann,52.71,57.53,7.68,2.186,0.729,0.047,0.056,0.5
M Montgomery,50.25,52.49,4.38,2.271,1.0,0.0,0.0,0.0
AJ Turner,47.13,49.54,5.32,2.297,0.818,0.0,0.0,0.0
TJ Prest,48.75,51.98,5.94,2.148,0.278,0.0,0.056,2.0
NRT Gubbins,53.09,54.32,2.3,2.153,1.0,0.0,0.0,0.0
GS Drissell,51.25,54.01,6.07,2.274,0.792,0.0,0.038,2.0
AM Vaughan,50.47,53.7,6.39,2.26,0.662,0.028,0.08,0.88
LP Goldsworthy,50.49,53.04,5.44,2.014,0.815,0.0,0.148,0.5
F Ahmed,51.89,56.14,7.5,1.986,0.524,0.017,0.027,0.27
CT Steel,52.36,55.4,6.76,2.008,0.696,0.043,0.0,0.0
GS Virdi,48.89,53.71,9.4,2.039,0.717,0.024,0.053,0.9
GJ Bell,51.86,54.43,5.36,1.93,1.0,0.0,0.0,0.0
SA Al Hasan,51.75,55.7,8.61,2.027,0.767,0.047,0.057,0.18
Y Majid,51.45,53.7,6.69,2.137,0.881,0.015,0.0,0.0
RS Patel,63.61,65.54,5.43,1.989,0.737,0.0,0.053,1.0
OG Robinson,44.75,45.37,1.08,2.162,1.0,0.0,0.0,0.0
HPN Singh,55.84,56.54,1.13,2.198,0.6,0.0,0.1,2.0
